MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:2444583,Abi3bp,"ABI gene family, member 3 (NESH) binding protein",16,,extracellular matrix structural constituent,happens in lung|happens in colon,UniProtKB:Q59IW6,RCA,,J:265604 
MGI:87904,Actb,"actin, beta",5,,structural constituent of postsynaptic actin cytoskeleton,,,IBA,PTN002631524 ,J:265628 
MGI:87904,Actb,"actin, beta",5,,structural constituent of postsynaptic actin cytoskeleton,,,ISO,P60709 ,J:164563 
MGI:2444552,Actbl2,"actin, beta-like 2",13,,structural constituent of postsynaptic actin cytoskeleton,,,IBA,PTN002631524 ,J:265628 
MGI:87906,Actg1,"actin, gamma, cytoplasmic 1",11,,structural constituent of cytoskeleton,,,IDA,,J:92541 
MGI:87906,Actg1,"actin, gamma, cytoplasmic 1",11,,structural constituent of postsynaptic actin cytoskeleton,,,IBA,PTN002631524 ,J:265628 
MGI:87906,Actg1,"actin, gamma, cytoplasmic 1",11,,structural constituent of postsynaptic actin cytoskeleton,,,ISO,RGD:1304556 ,J:155856 
MGI:2137706,Actn1,"actinin, alpha 1",12,,structural constituent of postsynapse,,,ISO,P12814 ,J:164563 
MGI:1913963,Actr2,ARP2 actin-related protein 2,11,,structural constituent of cytoskeleton,,,ISO,P61160 ,J:164563 
MGI:1921367,Actr3,ARP3 actin-related protein 3,1,,structural constituent of cytoskeleton,,,ISO,P61158 ,J:164563 
MGI:87918,Add1,adducin 1 (alpha),5,,structural constituent of cytoskeleton,,,IDA,,J:71029 
MGI:87918,Add1,adducin 1 (alpha),5,,structural molecule activity,,,IBA,PTN000072560 ,J:265628 
MGI:87919,Add2,adducin 2 (beta),6,,structural constituent of cytoskeleton,,,IDA,,J:71029 
MGI:87919,Add2,adducin 2 (beta),6,,structural molecule activity,,,IBA,PTN000072560 ,J:265628 
MGI:1351615,Add3,adducin 3 (gamma),19,,structural constituent of cytoskeleton,,,IDA,,J:71029 
MGI:1351615,Add3,adducin 3 (gamma),19,,structural molecule activity,,,IBA,PTN000072560 ,J:265628 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,extracellular matrix structural constituent,happens in islets of Langerhans,,RCA,,J:265607 
MGI:87961,Agrn,agrin,4,,extracellular matrix structural constituent,happens in lung,PR:A2ASQ1-2,RCA,,J:265604 
MGI:87961,Agrn,agrin,4,,extracellular matrix structural constituent,happens in islets of Langerhans,,RCA,,J:265607 
MGI:1316648,Ahnak,AHNAK nucleoprotein (desmoyokin),19,,structural molecule activity conferring elasticity,happens in skeletal muscle tissue,,IMP,,J:165850 
MGI:104655,Ambn,ameloblastin,5,,extracellular matrix structural constituent conferring compression resistance,,,TAS,,J:50559 
MGI:104655,Ambn,ameloblastin,5,,structural constituent of tooth enamel,,,IEA,IPR007798 ,J:72247 
MGI:88005,Amelx,"amelogenin, X-linked",X,,structural constituent of tooth enamel,,,ISO,Q99218 ,J:164563 
MGI:88026,Ank3,"ankyrin 3, epithelial",10,,structural constituent of cytoskeleton,,,ISO,Q12955 ,J:164563 
MGI:1343142,Arpc1b,"actin related protein 2/3 complex, subunit 1B",5,,structural constituent of cytoskeleton,,,ISO,O15143 ,J:164563 
MGI:1923959,Arpc2,"actin related protein 2/3 complex, subunit 2",1,,structural constituent of cytoskeleton,,,IBA,PTN000248611 ,J:265628 
MGI:1923959,Arpc2,"actin related protein 2/3 complex, subunit 2",1,,structural constituent of cytoskeleton,,,ISO,O15144 ,J:164563 
MGI:1928375,Arpc3,"actin related protein 2/3 complex, subunit 3",5,,structural constituent of cytoskeleton,,,ISO,O15145 ,J:164563 
MGI:1915339,Arpc4,"actin related protein 2/3 complex, subunit 4",6,,structural constituent of cytoskeleton,,,ISO,P59998 ,J:164563 
MGI:1915021,Arpc5,"actin related protein 2/3 complex, subunit 5",1,,structural constituent of cytoskeleton,,,ISO,O15511 ,J:164563 
MGI:1913945,Aspn,asporin,13,,extracellular matrix structural constituent conferring compression resistance,happens in lung|happens in colon,,RCA,,J:265604 
MGI:1913945,Aspn,asporin,13,,extracellular matrix structural constituent conferring compression resistance,happens in islets of Langerhans,,RCA,,J:265607 
MGI:2442591,BC024139,cDNA sequence BC024139,15,,structural molecule activity,,,IBA,PTN002753757 ,J:265628 
MGI:101770,Bfsp1,"beaded filament structural protein 1, in lens-CP94",2,,structural constituent of eye lens,,,IBA,PTN002679400 ,J:265628 
MGI:101770,Bfsp1,"beaded filament structural protein 1, in lens-CP94",2,,structural constituent of eye lens,happens in lens fiber,,IDA,,J:85243 
MGI:1333828,Bfsp2,"beaded filament structural protein 2, phakinin",9,,structural constituent of eye lens,,,IDA,,J:115522 
MGI:1333828,Bfsp2,"beaded filament structural protein 2, phakinin",9,,structural molecule activity,,,IEA,IPR002957 ,J:72247 
MGI:88156,Bglap,bone gamma carboxyglutamate protein,3,,structural constituent of bone,,,IBA,PTN002681863 ,J:265628 
MGI:88156,Bglap,bone gamma carboxyglutamate protein,3,,structural constituent of bone,,,ISO,RGD:2206 ,J:155856 
MGI:88157,Bglap2,bone gamma-carboxyglutamate protein 2,3,,structural constituent of bone,,,IBA,PTN002681863 ,J:265628 
MGI:88157,Bglap2,bone gamma-carboxyglutamate protein 2,3,,structural constituent of bone,,,ISO,RGD:2206 ,J:155856 
MGI:88155,Bglap3,bone gamma-carboxyglutamate protein 3,3,,structural constituent of bone,,,IBA,PTN002681863 ,J:265628 
MGI:88155,Bglap3,bone gamma-carboxyglutamate protein 3,3,,structural constituent of bone,,,ISO,RGD:2206 ,J:155856 
MGI:88158,Bgn,biglycan,X,,extracellular matrix structural constituent conferring compression resistance,happens in lung|happens in colon,,RCA,,J:265604 
MGI:88158,Bgn,biglycan,X,,extracellular matrix structural constituent conferring compression resistance,happens in islets of Langerhans,,RCA,,J:265607 
MGI:1920480,Bmper,BMP-binding endothelial regulator,9,,extracellular matrix structural constituent,happens in lung,,RCA,,J:265604 
MGI:1277955,Bsn,bassoon,9,,structural constituent of presynaptic active zone,happens in Schaffer collateral - CA1 synapse,,IDA,,J:263436 
